pathway	104B_1w_ML	104B_3w_ML	104B_4w_ML	104E_1w_ML	104E_3w_ML	104E_4w_ML	104R_1w_ML	104R_3w_ML	104R_4w_ML	104S_0w_ML	105B_1w_ML	105B_3w_ML	105B_4w_ML	105E_1w_ML	105E_3w_ML	105E_4w_ML	105R_1w_ML	105R_3w_ML	105R_4w_ML	105S_0w_ML	108B_1w_ML	108B_3w_ML	108B_4w_ML	108E_1w_ML	108E_3w_ML	108E_4w_ML	108R_1w_ML	108R_3w_ML	108R_4w_ML	108S_0w_ML	109B_1w_ML	109B_3w_ML	109B_4w_ML	109E_1w_ML	109E_3w_ML	109E_4w_ML	109R_1w_ML	109R_3w_ML	109R_4w_ML	109S_0w_ML	201B_1w_ML	201B_3w_ML	201B_4w_ML	201E_1w_ML	201E_3w_ML	201E_4w_ML	201R_1w_ML	201R_3w_ML	201R_4w_ML	201S_0w_ML	202B_1w_ML	202B_3w_ML	202B_4w_ML	202E_1w_ML	202E_3w_ML	202E_4w_ML	202R_1w_ML	202R_3w_ML	202R_4w_ML	202S_0w_ML	206B_1w_ML	206B_3w_ML	206B_4w_ML	206E_1w_ML	206E_3w_ML	206E_4w_ML	206R_1w_ML	206R_3w_ML	206R_4w_ML	206S_0w_ML	207B_1w_ML	207B_3w_ML	207B_4w_ML	207E_1w_ML	207E_3w_ML	207E_4w_ML	207R_1w_ML	207R_3w_ML	207R_4w_ML	207S_0w_ML	209B_1w_ML	209B_3w_ML	209B_4w_ML	209E_1w_ML	209E_3w_ML	209E_4w_ML	209R_1w_ML	209R_3w_ML	209R_4w_ML	209S_0w_ML	301B_1w_ML	301B_3w_ML	301B_4w_ML	301E_1w_ML	301E_3w_ML	301E_4w_ML	301R_1w_ML	301R_3w_ML	301R_4w_ML	301S_0w_ML	302B_1w_ML	302B_3w_ML	302B_4w_ML	302E_1w_ML	302E_3w_ML	302E_4w_ML	302R_1w_ML	302R_3w_ML	302R_4w_ML	302S_0w_ML	306B_1w_ML	306B_3w_ML	306B_4w_ML	306E_1w_ML	306E_3w_ML	306E_4w_ML	306R_3w_ML	306R_4w_ML	306S_0w_ML	309B_1w_ML	309B_3w_ML	309B_4w_ML	309E_1w_ML	309E_3w_ML	309E_4w_ML	309R_1w_ML	309R_3w_ML	309R_4w_ML	309S_0w_ML	310B_1w_ML	310B_3w_ML	310B_4w_ML	310E_1w_ML	310E_3w_ML	310E_4w_ML	310R_1w_ML	310R_3w_ML	310R_4w_ML	310S_0w_ML	411B_1w_ML	411B_3w_ML	411B_4w_ML	411E_1w_ML	411E_3w_ML	411E_4w_ML	411R_1w_ML	411R_3w_ML	411R_4w_ML	411S_0w_ML	Seed_CM_4
PWY-5384	1201.7074	1503.9412	1529.0424	4111.6676	1078.6989	1546.9492	6546.1854	2461.1884	3605.0408	1691.2692	1013.453	1499.1875	1340.8712	8358.3263	708.273	1383.4996	6945.2705	2448.3372	2635.3746	1328.0493	1238.4593	1561.3082	1400.5638	1928.2864	877.492	1102.2617	4296.5273	2076.4385	2666.5257	1135.7052	1063.5864	1274.0399	1342.1865	3666.0885	608.6641	1595.4002	9443.2959	2196.4834	3244.0594	2439.7892	1062.6739	2764.0548	2584.3257	3706.8149	828.5604	1031.8317	5634.3666	2617.5861	2741.6419	1644.9358	904.6186	1288.7009	1348.8702	1607.2937	906.241	1096.1807	4267.1092	2257.7107	2058.2579	4925.6438	877.5532	1081.5897	1364.8147	2279.9057	842.5965	1652.8498	4974.3207	2131.4722	3112.581	1174.9648	1054.9744	1773.1714	1131.8776	2030.887	793.0377	973.4759	5273.9332	2089.3614	2300.6074	1511.2502	1233.8486	1811.8975	1200.7336	2817.0636	1182.6943	6248.1025	10682.5211	2709.6856	13446.1911	2269.0873	1138.44	1205.5148	1362.4255	1380.7241	896.2251	1684.9256	5743.9817	2246.3361	3560.2222	2385.0642	1294.809	1551.5334	1375.9136	1852.5279	1347.4248	1570.6764	7251.1989	2570.2335	4563.0571	1246.5962	1011.7228	1081.199	1258.9484	1782.1187	842.2346	813.8588	2099.8344	2567.9625	1075.8922	1063.7655	1267.4116	1047.2704	1768.0881	777.7171	1406.1375	6490.5067	2488.4518	2891.636	1345.7563	970.858	1490.6227	1141.0744	1993.562	669.1888	1329.4153	6373.9009	2018.9424	2404.2322	1259.7103	700.2398	1502.2466	1157.0564	1443.9115	761.7717	976.4863	5940.6713	2397.3306	1941.8437	991.3475	1595.5276
PWY-5392	298.2196	200.2411	155.8642	1176.8291	382.7803	242.8583	86.9194	211.1374	221.3799	217.307	351.0987	227.6056	234.2122	310.231	287.3749	355.7551	90.4129	197.513	197.473	203.7329	220.3221	207.1502	230.7201	1842.8473	546.5426	232.5007	169.3511	224.7947	170.0363	261.0562	199.9114	271.2436	230.99	1547.413	358.9309	239.2681	187.0316	241.9874	214.5695	257.925	407.6819	197.0055	190.2254	1401.3047	318.101	369.4098	80.0863	166.5216	211.1533	176.3454	199.9394	166.0953	100.7886	1224.2842	211.8047	284.0346	59.2698	100.9707	166.6185	227.7611	384.7599	227.4168	234.4177	1665.182	467.4533	283.9366	100.8286	269.2579	166.5418	251.3672	280.6464	217.406	166.1377	1403.1076	345.2672	242.7734	104.2863	242.0448	166.558	145.5662	230.6069	196.9333	203.6848	976.4158	273.7011	222.1423	121.4781	159.6777	69.7609	230.8894	274.3817	203.7239	172.9517	1578.0565	464.4906	221.7118	107.7948	231.8067	114.5271	325.759	179.5225	176.4292	159.2778	954.8866	355.3615	366.018	55.7984	152.8105	118.2489	241.0923	311.2332	206.8409	176.3913	1836.7962	527.9132	491.4939	187.2777	228.3497	258.2966	230.3558	224.0958	237.6356	1931.1783	342.0586	412.972	138.8437	159.6723	149.2694	162.7191	348.1508	261.5221	302.0419	1851.8783	393.1083	386.0813	138.7675	190.6623	100.9701	275.0806	465.8163	200.4009	264.6807	660.3046	477.1844	494.7388	80.0547	176.8511	135.5328	349.1246	820.0181
PWY-5415	623.3176	545.9251	562.9141	3456.1881	2470.7196	1739.5681	2304.6177	1236.0181	2143.4675	973.1679	474.7432	656.6867	484.9185	4098.509	1990.2509	1801.4906	2699.8906	1478.0625	1665.3621	635.0931	497.016	540.2929	492.5443	2616.6819	3253.1154	1986.5044	2226.44	1245.3232	2057.7193	612.4648	379.9455	564.2529	601.7363	3091.6139	2572.3389	2227.0286	3090.1047	1517.1593	1906.2696	570.5024	490.6491	870.0256	1320.9749	2780.1074	2616.4036	2005.9403	2522.0185	1265.4992	1766.7064	686.7232	367.1781	583.3064	573.1523	2879.4303	1656.0842	1584.9262	2691.93	1233.8402	1724.1836	1916.4366	412.3495	404.706	499.1226	2345.7837	2145.0046	1832.6381	2763.4527	1369.8483	1557.2489	520.6875	373.4684	604.3868	446.3973	2383.3924	2527.9161	2077.9814	2737.532	1469.0019	1523.8463	637.4801	431.5931	642.8717	532.2038	3378.4912	2127.1257	4777.9228	2580.2001	1679.7844	2782.2833	1343.2071	395.0154	516.6056	606.6238	2293.6001	2381.7012	2147.6387	2888.9053	1357.4383	1953.7839	1274.785	646.3079	729.8346	464.6323	2486.0343	2472.143	1739.0905	2913.9579	1444.2625	1749.3992	649.8874	380.6192	365.2389	435.8479	2430.9205	2391.071	1761.6404	1632.953	1856.5787	494.2066	373.4807	551.4296	498.5463	2553.3103	2322.2521	2335.7544	2594.9586	1389.0693	1402.4363	660.2746	421.463	477.1652	471.2557	2570.0414	1876.4552	2076.2089	2617.8523	1439.4984	1482.5825	622.0057	413.494	716.3528	488.0645	2819.3427	1910.4837	1917.9333	2413.2788	1498.6376	1527.7916	542.9241	937.8607
PWY-5417	390.9337	461.9582	455.9025	1965.2938	1545.7964	1487.6352	2999.2078	717.8136	2198.031	571.2415	292.9588	382.1183	433.8241	2355.375	1296.324	1081.6133	2888.418	867.2407	1260.0577	604.4372	311.2572	450.9321	531.0776	860.6704	1325.2268	996.5673	2089.2288	495.9324	720.1305	487.9726	210.5443	438.4949	400.4768	1298.0723	1282.095	1421.1921	1790.6693	717.6886	1754.3389	1079.3797	324.8479	686.7254	483.14	1536.3819	1764.1764	1048.5561	3656.3255	745.6287	1093.5246	804.3869	249.3017	582.9857	460.9267	1604.6985	1555.6564	949.572	2705.6698	855.9547	925.7979	529.5366	257.522	283.5204	380.5737	1827.266	1587.1361	1296.2955	3011.9924	971.6073	1463.8277	393.2221	210.7644	419.5814	386.8284	1350.5182	1527.6445	1076.8634	2585.0774	684.6943	841.0317	587.2189	274.5443	574.3077	427.8609	1556.3078	1529.2559	1212.7561	3125.7429	957.3152	1288.6583	1230.5322	242.0293	432.5587	470.4542	904.1385	1504.4479	4223.3317	2746.2443	681.2702	4200.2039	780.6457	342.1335	482.5472	438.8714	1535.7343	1655.0037	1101.0111	2353.6498	1232.803	1238.8351	470.7421	251.3747	252.6386	467.7411	862.5219	1676.4992	1085.5492	842.4796	1190.6397	370.7081	246.9318	420.318	413.1857	1347.6367	1415.2133	1311.0652	2184.906	754.5686	1615.5494	533.3353	235.6856	543.8346	313.663	1238.3716	1575.9417	1346.7309	1859.5887	781.6705	999.6818	403.3691	205.9374	343.0068	337.3301	2157.4928	1617.8231	1211.4497	2654.952	1428.6522	1148.4177	342.0495	563.0382
PWY-5419	870.1924	794.0331	941.486	953.5173	1968.7304	1449.8171	835.2079	1658.7543	1648.0565	843.2908	759.1673	818.4137	901.6965	544.318	1116.204	1290.6791	874.9106	1522.7731	1600.5873	867.6794	665.0163	874.0006	772.4796	662.8025	1215.8678	1261.3828	697.9747	1166.717	1715.4989	830.9646	619.3721	789.8297	781.81	761.1856	1574.849	1683.3568	902.0587	1312.8077	1633.7257	770.7878	704.138	875.3465	917.1148	791.1741	2013.9967	1072.3032	776.7061	1383.3862	1555.2948	852.7856	700.0248	812.5724	827.8875	1220.417	1399.4701	1563.9157	1420.6773	1555.3324	1806.8085	692.3814	728.6534	747.8512	865.8593	1053.1556	2732.0309	1862.6866	1451.8593	1579.3597	1668.2256	909.4658	617.5787	806.9261	803.4328	672.7017	2203.2636	1764.174	973.9076	1699.1902	1425.237	805.031	708.7519	798.8822	800.6178	942.0683	2026.1419	2088.1482	897.4842	1478.2105	1007.8551	814.8601	747.8145	787.881	799.6657	902.7017	1983.066	921.8581	1174.3167	1549.201	833.7768	866.7067	683.5209	822.7789	733.2678	946.3001	2504.3785	1417.843	1241.775	1557.7863	1462.4893	805.3012	713.1331	726.6455	716.9071	716.8	1901.5551	2040.1736	1648.3294	1787.2579	751.1517	646.4752	796.8675	706.5673	1034.988	2195.514	2275.4581	1065.0456	1402.0206	1438.6394	808.2233	787.4831	844.1591	779.2858	1006.5961	1673.7569	2008.089	1241.4127	1699.6627	1736.6384	856.4674	798.3093	818.6424	765.7542	1348.7269	1360.3634	1270.7423	1220.1467	1408.8251	1614.3765	815.5348	408.6624
PWY-5420	682.3071	603.6538	641.0526	1394.4568	2108.4721	1526.377	1272.9281	1369.3305	1820.2394	884.7146	532.576	704.0205	562.1592	890.7844	1351.7281	1435.047	1362.3528	1484.9738	1603.7122	693.2624	538.9068	610.7903	552.5711	967.4851	1628.707	1464.4541	1016.0197	1180.0198	1842.5936	665.133	428.793	619.5477	649.1348	1122.8308	1844.189	1834.1928	1409.7133	1375.5013	1719.957	618.872	538.7023	880.9784	1068.1771	1139.7032	2166.611	1311.6396	1187.6418	1307.8693	1616.5619	734.6049	425.9716	640.6551	634.7365	1602.4194	1470.5653	1541.4016	1934.7507	1344.9019	1735.9318	994.3482	471.6531	468.773	572.2123	1366.133	2282.3809	1802.8328	2018.2589	1454.5329	1589.5755	597.806	422.749	657.2207	514.5932	968.9091	2267.1403	1836.7479	1452.8572	1552.8917	1441.0094	683.5745	488.7881	688.1507	592.8307	1358.999	2010.2346	2724.5717	1430.2368	1555.9838	1600.7436	984.9245	458.6986	574.9715	660.4089	1206.2408	2081.029	1207.5009	1716.6627	1429.1193	1179.5146	999.9237	655.9523	761.293	523.2709	1271.6725	2422.5019	1514.1397	1842.4343	1469.4823	1606.6985	692.7681	440.4458	428.4747	494.6306	1019.1473	2030.3094	1830.9821	1620.3203	1797.9095	550.1405	426.3505	608.2188	544.1553	1369.8513	2184.8938	2218.147	1576.4344	1384.6584	1398.7076	701.8222	488.0301	547.821	533.8133	1347.1277	1718.5027	1970.1638	1779.5583	1540.8226	1578.3868	678.1911	477.5412	749.3898	546.687	1730.5896	1521.8254	1458.2882	1781.0644	1434.2078	1533.2238	601.4388	530.7881
PWY-5430	285.029	306.425	252.0449	1118.5105	409.0638	633.4221	1102.7121	574.95	1250.6219	443.0318	188.1482	230.6665	273.001	777.7818	162.986	321.03	1163.4681	680.5881	962.2282	399.2605	229.9366	294.1289	220.0086	560.0466	228.5495	218.142	872.2429	327.3624	559.7175	326.17	103.6043	256.0289	248.3785	688.4156	217.8746	522.19	990.3403	500.0903	1156.348	265.1252	228.4828	354.4747	360.1085	855.8623	236.3697	203.8212	1004.4015	547.6854	911.4221	428.2241	158.4037	325.9886	300.4846	1040.1063	438.7213	318.5394	1636.3917	599.5103	733.473	399.1113	146.5073	193.2233	274.0118	1013.3172	258.3615	537.4179	1744.2355	732.0257	974.3469	283.9954	131.382	268.2097	226.6396	702.0267	295.839	173.7211	1206.7961	505.2791	649.687	369.6659	178.3877	341.7744	272.959	1009.692	505.4419	484.9059	1184.8919	768.8705	831.9408	515.3741	137.0613	254.4079	311.7881	601.9987	343.6323	642.8958	1456.3493	502.5162	791.6254	517.6148	267.5086	312.7501	277.8404	923.7705	515.73	424.1659	1535.2485	810.172	856.842	282.7226	183.4339	168.6293	293.004	547.5146	329.6532	285.9752	636.2227	939.0115	237.094	182.2654	299.8929	282.0446	924.8088	341.8815	442.5071	1292.1516	536.5236	829.0969	362.8568	142.421	299.8549	194.4714	832.8092	286.5746	337.7236	1361.7865	567.2964	747.4464	252.3343	155.601	277.6966	240.7591	1422.8199	482.5968	382.6128	1486.1305	845.3416	841.9928	233.6832	254.4067
PWY-5431	390.9337	461.9582	455.9025	1965.2938	1545.7964	1487.6352	2999.2078	717.8136	2198.031	571.2415	292.9588	382.1183	433.8241	2355.375	1296.324	1081.6133	2888.418	867.2407	1260.0577	604.4372	311.2572	450.9321	531.0776	860.6704	1325.2268	996.5673	2089.2288	495.9324	720.1305	487.9726	210.5443	438.4949	400.4768	1298.0723	1282.095	1421.1921	1790.6693	717.6886	1754.3389	1079.3797	324.8479	686.7254	483.14	1536.3819	1764.1764	1048.5561	3656.3255	745.6287	1093.5246	804.3869	249.3017	582.9857	460.9267	1604.6985	1555.6564	949.572	2705.6698	855.9547	925.7979	529.5366	257.522	283.5204	380.5737	1827.266	1587.1361	1296.2955	3011.9924	971.6073	1463.8277	393.2221	210.7644	419.5814	386.8284	1350.5182	1527.6445	1076.8634	2585.0774	684.6943	841.0317	587.2189	274.5443	574.3077	427.8609	1556.3078	1529.2559	1212.7561	3125.7429	957.3152	1288.6583	1230.5322	242.0293	432.5587	470.4542	904.1385	1504.4479	4223.3317	2746.2443	681.2702	4200.2039	780.6457	342.1335	482.5472	438.8714	1535.7343	1655.0037	1101.0111	2353.6498	1232.803	1238.8351	470.7421	251.3747	252.6386	467.7411	862.5219	1676.4992	1085.5492	842.4796	1190.6397	370.7081	246.9318	420.318	413.1857	1347.6367	1415.2133	1311.0652	2184.906	754.5686	1615.5494	533.3353	235.6856	543.8346	313.663	1238.3716	1575.9417	1346.7309	1859.5887	781.6705	999.6818	403.3691	205.9374	343.0068	337.3301	2157.4928	1617.8231	1211.4497	2654.952	1428.6522	1148.4177	342.0495	563.0382
PWY-5484	8599.5805	8702.0726	9308.2615	9989.7952	12487.6355	13056.6968	10513.8521	10034.485	10134.0012	8942.3209	8389.8826	8652.4692	8806.7166	12066.0666	12397.2893	12608.4571	10675.7867	10077.6962	9537.0283	8674.7039	8468.9006	8826.586	8788.6619	9243.986	10849.1399	12623.8896	8753.2343	9581.6551	9750.7149	8587.254	8298.4892	8975.7809	8902.4547	10368.8933	12166.7413	12409.1425	12019.7018	9683.9622	9867.7604	9750.6486	8300.1443	9683.8091	10012.5896	9963.3943	12479.1784	12604.0176	11049.3059	9732.0982	9526.3435	8846.1014	8019.2986	8470.5908	8680.2342	9971.2448	12559.2171	12940.1416	10151.6922	9628.7208	9653.2862	9869.3548	8249.751	8223.7227	8798.0284	9816.4165	12623.1485	12843.2255	10478.6826	9901.4748	10060.5395	8467.0844	8134.3291	8793.3843	8606.1086	9145.0809	12203.656	12618.6836	10238.8162	9905.5444	9414.454	8627.1088	8293.2074	8733.8673	8848.136	10041.4881	12947.8564	14140.1942	11836.286	9967.748	13658.5974	9460.6428	8273.7385	8289.4216	8800.4621	9146.0611	12872.5098	10898.1917	10640.074	9723.9176	9161.9416	9604.9634	8062.6457	8838.8247	8434.3567	9336.967	12191.9299	12898.9388	10873.5223	10002.6501	10660.6759	8230.1903	8079.2349	8457.824	8473.8817	9077.8756	12192.1862	12887.591	9973.5212	9817.1698	8285.7637	8057.9241	8444.352	8327.8356	9885.1735	12683.4109	12036.4333	10688.5444	9870.3547	9729.2444	8574.0042	8249.4348	8852.5689	8482.0136	9495.4743	12456.8135	12245.3871	10402.4085	9803.0729	9966.0277	8616.964	8263.7012	8778.3172	9214.2615	8071.821	11818.2457	12472.0286	9881.0156	9849.7092	9590.2924	8773.2188	9740.694
PWY-5499	0.25	0.0	0.0	0.5	1.4674	1.7308	1.25	1.0	1.25	0.25	0.0	0.25	0.0	0.25	0.0	0.0	0.75	0.6429	2.75	0.0	0.3553	0.0	0.0	0.0	0.0	1.25	1.7308	3.0	2.5071	0.0	0.0	0.25	0.25	0.25	1.0	2.4	0.9265	2.5	2.75	0.7388	0.0	0.0	0.25	0.0	0.25	0.25	0.0	0.5	1.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	1.75	1.25	0.0	0.0	0.0	0.0	0.0	2.0	0.5	0.75	2.75	2.25	0.0	0.0	0.0	0.25	0.0	1.25	1.25	0.25	1.75	0.25	0.0	0.0	0.0	0.5	0.0	1.25	0.0	0.75	1.5	0.75	0.25	0.3409	0.25	0.0	0.0	0.5	0.0	0.0	1.75	0.5	0.6429	0.0	0.0	0.0	0.0	2.5071	1.0	6.0487	2.5	0.0	0.0	0.0	0.0	0.0	0.75	1.5	0.5	3.4615	1.75	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.5	0.25	1.25	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	3.78	2.0	0.0	0.0
PWY-5505	6481.3892	6619.9207	6344.0538	6286.7126	3514.0764	2935.7697	8967.4204	5303.7537	6115.9057	6340.4199	6589.1522	5923.7667	6435.4745	9025.0533	2386.2157	2631.6551	8309.534	5486.4571	5065.7409	6204.2991	6200.4977	6151.304	6156.9594	4887.6335	3079.4757	2386.5709	6049.0152	5879.9373	5121.8442	6768.0157	6572.6348	6809.0329	6415.4604	5506.5126	2696.9117	3323.2564	8768.8364	5481.513	5056.6465	5965.0049	6774.6746	5968.7398	6312.5993	5633.4116	3457.9177	2688.6974	7818.8817	5143.9541	5025.0245	6027.6919	6884.6944	6535.4437	6497.4977	4223.0477	2386.2784	2504.5992	5610.4236	5725.9459	4930.0863	6577.7569	6410.9171	6350.4525	6235.0682	4364.8237	4085.0669	3463.3531	6853.2501	5420.3387	4816.1597	6165.7478	6673.0377	6400.2612	6573.3377	3927.5243	3425.1311	2889.5501	6752.7793	5581.9729	5648.3851	6088.6299	6670.479	6229.4874	6672.2648	5267.4035	3344.6365	6389.5678	9170.8677	5575.7195	10538.0259	6277.6361	6469.2416	5921.9017	6213.3458	3975.4853	3338.8373	5563.5103	6996.5293	5366.807	7302.8959	6123.7151	6716.6848	6341.5609	6763.5819	3570.8189	4232.7233	3052.0847	7041.6912	5405.1031	6327.0789	6190.9254	6684.2529	6767.9224	6534.4993	4244.4947	3137.1423	3177.9468	5043.1657	4992.7598	6351.4341	6752.8906	6694.2749	6800.1075	4395.9306	3291.8468	3594.1601	6888.7711	5881.169	5965.9384	6682.3193	7097.6834	6630.1126	6748.3646	3966.6463	2614.3724	3210.2286	6588.9007	5719.0211	5727.6312	6626.8617	7398.3716	6747.358	6627.014	3279.5179	2387.3153	2378.4449	6244.8153	5471.7102	5550.5884	6632.6309	4748.3478
PWY-5507	571.8552	457.1931	625.6352	2351.132	555.6749	570.611	1966.7401	378.702	1204.2516	957.8698	163.1941	575.9647	189.7648	3289.561	191.8906	116.3391	2193.7022	483.1311	545.6498	695.4588	422.0642	309.3839	186.1557	1438.0617	118.5494	470.4854	2054.8748	315.2295	1201.2714	202.7736	125.0709	315.1526	543.7378	2061.3113	154.8751	588.396	2169.3372	381.8913	855.3765	121.5942	193.6169	778.4339	982.9668	1975.3514	443.8176	428.592	2233.7912	666.0537	465.4484	586.7315	232.0367	455.1075	423.0132	1682.41	186.3391	711.4127	1486.1201	325.2739	976.7645	858.0216	157.8739	248.6636	428.3479	1745.4053	113.9209	321.7119	1681.1432	323.2979	902.1275	349.0843	140.7111	476.404	252.172	1478.8242	103.3184	366.4159	1530.0797	242.186	498.4382	667.884	250.6169	491.5409	322.6726	2644.975	385.7442	5266.3632	1739.7213	633.6442	2223.0062	931.4083	157.3008	259.8017	623.2494	1103.5464	108.3587	2019.521	2388.4182	323.5299	1766.3198	1083.7597	411.2887	885.5373	378.308	1908.994	832.6722	989.8747	1146.0493	505.5254	1370.0437	588.9666	213.4661	156.7107	262.5841	1422.4472	302.226	152.3274	459.8274	1028.9902	237.632	287.8621	560.9339	345.3969	1476.4653	226.6677	161.5581	1710.664	995.3474	1003.0242	653.8522	153.0747	215.0809	233.3296	1624.6558	134.8396	135.2331	1448.5867	452.9498	680.0473	486.6105	115.5772	526.3259	163.103	1315.2759	136.2869	452.8525	954.7891	898.7401	644.7658	219.442	364.0853
PWY-5509	2763.2008	2683.0205	2929.8719	5693.078	8490.7122	9789.589	7173.4693	3821.2543	5251.5886	3171.5779	2654.4882	2738.694	2725.0357	8452.3883	9211.1745	9177.034	6659.7305	4260.1603	4282.7641	2893.9465	2699.4239	2986.6964	2836.7794	4459.6261	7080.4943	9477.568	4661.2285	3983.9819	4284.6221	2890.7657	2499.2566	2643.102	2857.0249	5429.3669	8454.7177	8586.7868	6654.6149	4039.421	4494.0984	3613.3959	2708.7431	3306.1621	3606.1206	5429.9562	8551.0563	9249.2532	6545.4	4016.6534	4560.349	3205.2605	2451.9954	2893.3263	2791.5814	4439.9865	9233.3448	9425.0079	5214.8811	3807.128	3987.3553	4151.3831	2537.986	2460.4252	2721.061	4734.74	8120.1656	9005.6083	5861.292	4033.9705	4366.4886	2694.3118	2373.2671	2891.49	2670.9834	4188.9218	8155.0213	8818.7678	5541.0705	4131.7322	4015.0888	3110.3581	2525.3167	2978.353	2601.8687	4784.8095	9140.1068	9611.657	7374.7296	4295.534	8074.0272	3491.3271	2633.9131	2658.809	2795.9647	4235.093	9220.1365	8374.5774	5892.3313	4090.787	5371.4309	3698.7664	2710.5136	2994.4172	2676.0583	4258.2014	7664.0167	9276.7802	6016.877	4346.8323	4013.8289	2796.8699	2465.7709	2471.1578	2647.8579	4114.1683	8109.8465	8909.9108	4285.5525	4236.0297	2631.4258	2434.6009	2655.4098	2558.7438	4367.5367	8681.9128	7427.2127	5524.3403	4092.4603	4173.0237	2712.3044	2449.4742	2674.8292	2528.6242	4438.674	8705.2722	8088.0278	5224.9527	3993.678	4155.6823	2759.4877	2524.121	2821.8105	2610.5498	4052.3329	8075.2072	9042.6804	5391.2006	4199.1563	3970.0694	2646.7334	3208.8177
PWY-5519	0.0	0.1935	0.4285	0.2392	0.7374	0.0	0.2393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2384	0.237	0.2385	0.0	0.2264	0.0	0.0	0.0	0.0	0.0	0.2373	0.4782	0.2377	0.0	0.0	0.0	0.0	0.0	0.0	0.2264	0.0	0.232	0.0	0.0	0.0	0.0	0.0	0.0	0.4905	0.0	0.0	0.2391	0.0	0.0	0.0	0.4545	0.0	0.2398	0.2393	0.0	0.0	0.7557	0.2388	0.2143	0.0	0.4492	0.0	0.0	0.2371	0.233	0.0	0.2386	0.2386	0.0	0.0	0.0	0.1935	0.0	0.0	0.0	0.0	0.0	0.4857	0.229	0.0	0.0	0.0	0.0	0.1935	0.0	0.0	0.2338	0.0	0.0	0.2143	0.0	0.4	0.2379	0.0	0.0	0.0	0.239	0.0	0.0	0.1935	0.2143	0.0	0.0	0.2389	0.0	0.0	0.4986	0.2386	0.0	0.0	0.0	0.0	0.2384	0.0	0.0	0.7537	0.4962	0.0	0.2143	0.1935	0.232	0.0	0.2388	0.2392	0.0	0.2394	0.498	0.4545	0.0	0.0	0.0	0.0	0.239	0.4799	0.0	0.0	0.2392	0.2222	0.229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5529	208.9979	433.2526	737.7731	81.7465	79.8986	55.8084	54.5514	110.4301	94.6143	155.6327	139.348	214.036	484.6737	81.2103	108.936	60.8811	69.0902	129.1494	96.82	144.8192	121.2244	335.893	471.9478	162.6287	186.7759	39.4724	63.6585	107.839	71.8466	195.5769	43.5387	613.8463	535.5738	93.0895	82.8014	108.2837	75.3557	180.8421	96.1521	249.365	120.2108	696.6496	749.6134	178.345	59.8801	93.1904	70.3239	185.9843	78.5406	281.8997	154.6017	366.3256	530.5737	1097.2357	166.4016	82.1419	169.6965	162.9702	121.7381	251.2512	202.1256	218.3515	567.5497	177.3561	81.5632	96.514	67.6507	111.698	92.8179	171.4306	96.0838	451.493	562.8627	209.9526	102.5751	39.2091	115.0929	146.9529	91.9664	228.6181	122.398	132.2723	598.296	544.9738	130.9588	48.808	75.6617	133.3845	30.4359	232.007	116.5692	245.9909	598.8844	299.8154	87.2096	57.4493	109.4674	114.9487	58.7782	299.6321	135.7691	559.228	507.5546	540.37	188.2601	120.3759	241.5775	232.2601	110.5479	184.6418	100.7865	375.5939	389.8435	258.468	202.5789	50.08	124.7835	105.5596	220.0323	90.683	322.69	363.5311	420.4807	201.4852	87.4596	184.3481	94.5958	140.3467	176.0913	179.563	419.0729	291.1787	183.1592	120.4086	138.4762	228.057	105.397	122.1434	201.5117	339.0679	369.4954	759.1781	148.3571	87.4064	50.4045	84.2011	158.484	124.3004	264.1041	232.015
