,Sample_ID,Soil_type,Treatment,Compartment,Treat,Time,Maturity_group,Class
For_CNR_7,For_CNR_7,Forest,CNR,Rhizosphere,For_CNR,08_26,MG_IV,For_CNR
For_CNR_8,For_CNR_8,Forest,CNR,Rhizosphere,For_CNR,08_26,MG_IV,For_CNR
For_CNR_9,For_CNR_9,Forest,CNR,Rhizosphere,For_CNR,08_26,MG_IV,For_CNR
For_NNW_1,For_NNW_1,Forest,NNW,Rhizosphere,For_NNW,08_13,MG_III,For_NNW
For_NNW_2,For_NNW_2,Forest,NNW,Rhizosphere,For_NNW,08_13,MG_III,For_NNW
For_NNW_3,For_NNW_3,Forest,NNW,Rhizosphere,For_NNW,08_13,MG_III,For_NNW
For_NNW_4,For_NNW_4,Forest,NNW,Rhizosphere,For_NNW,08_13,MG_III,For_NNW
For_NNW_5,For_NNW_5,Forest,NNW,Rhizosphere,For_NNW,08_13,MG_III,For_NNW
For_NNW_6,For_NNW_6,Forest,NNW,Rhizosphere,For_NNW,08_15,MG_III,For_NNW
For_NNW_7,For_NNW_7,Forest,NNW,Rhizosphere,For_NNW,08_15,MG_III,For_NNW
For_NNW_8,For_NNW_8,Forest,NNW,Rhizosphere,For_NNW,08_15,MG_III,For_NNW
For_NNW_9,For_NNW_9,Forest,NNW,Rhizosphere,For_NNW,08_15,MG_III,For_NNW
For_SOJ_1,For_SOJ_1,Forest,SOJ,Rhizosphere,For_SOJ,09_06,MG_V,For_SOJ
For_SOJ_2,For_SOJ_2,Forest,SOJ,Rhizosphere,For_SOJ,09_06,MG_V,For_SOJ
For_SOJ_3,For_SOJ_3,Forest,SOJ,Rhizosphere,For_SOJ,09_06,MG_V,For_SOJ
For_SOJ_4,For_SOJ_4,Forest,SOJ,Rhizosphere,For_SOJ,09_06,MG_V,For_SOJ
For_SOJ_5,For_SOJ_5,Forest,SOJ,Rhizosphere,For_SOJ,09_06,MG_V,For_SOJ
For_SOJ_6,For_SOJ_6,Forest,SOJ,Rhizosphere,For_SOJ,09_07,MG_V,For_SOJ
For_SOJ_7,For_SOJ_7,Forest,SOJ,Rhizosphere,For_SOJ,09_07,MG_V,For_SOJ
For_W82_1,For_W82_1,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_2,For_W82_2,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_3,For_W82_3,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_4,For_W82_4,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_5,For_W82_5,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_6,For_W82_6,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_7,For_W82_7,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_W82_8,For_W82_8,Forest,W82,Rhizosphere,For_W82,08_17,MG_III,For_W82
For_Fresh_1,For_Fresh_1,Forest,Fresh,Fresh,For_Fresh,06_29,Non,For_Soil
For_Fresh_2,For_Fresh_2,Forest,Fresh,Fresh,For_Fresh,06_29,Non,For_Soil
For_Fresh_3,For_Fresh_3,Forest,Fresh,Fresh,For_Fresh,06_29,Non,For_Soil
For_Fresh_4,For_Fresh_4,Forest,Fresh,Fresh,For_Fresh,06_29,Non,For_Soil
For_Fresh_5,For_Fresh_5,Forest,Fresh,Fresh,For_Fresh,06_29,Non,For_Soil
